"location","location2","location3","location4","lon_google","lat_google"
"Minnesota (The Red Part)","Minnesota (The Red Part)","Minnesota  The Red Part ","Minnesota  The Red Part",-95.0169401,47.876346
"The key is His Mother","The key is His Mother","The key is His Mother","The key is His Mother",,
"Doha, Qatar","Doha, Qatar","Doha  Qatar","Doha  Qatar",51.5310398,25.2854473
"GUJARAT INDIA","GUJARAT INDIA","GUJARAT INDIA","GUJARAT INDIA",71.1923805,22.258652
"Jogapatti, India","Jogapatti, India","Jogapatti  India","Jogapatti  India",84.3476321,26.8651447
"Pentagon City Washington, DC","Pentagon City Washington, DC","Pentagon City Washington  DC","Pentagon City Washington  DC",-77.0597464,38.8605585
"Middle Tennessee ","Middle Tennessee ","Middle Tennessee ","Middle Tennessee",-86.3648813,35.8486105
"Kokernag","Kokernag","Kokernag","Kokernag",75.3047747,33.5846628
"On a Mountain","On a Mountain","On a Mountain","On a Mountain",-111.935851,33.4282515
"The beach::Florida","The beach::Florida","The beach  Florida","The beach  Florida",-82.8285877,27.972065
"Assam, India","Assam, India","Assam  India","Assam  India",92.9375739,26.2006043
"Winter Springs, FL","Winter Springs, FL","Winter Springs  FL","Winter Springs  FL",-81.3081226,28.6988853
"Gallatin, Tennessee","Gallatin, Tennessee","Gallatin  Tennessee","Gallatin  Tennessee",-86.4466599,36.3883809
"Western North Carolina","Western North Carolina","Western North Carolina","Western North Carolina",-82.0407137,35.8257305
"Tampa Florida","Tampa Florida","Tampa Florida","Tampa Florida",-82.4571776,27.950575
"Moon","Moon","Moon","Moon",-94.9596443,35.9015765
"Asim kingdom<U+0001F451><U+0001F451><U+0001F451>","Asim kingdom","Asim kingdom","Asim kingdom",,
"chennai","chennai","chennai","chennai",80.2707184,13.0826802
"Texas Hill Country","Texas Hill Country","Texas Hill Country","Texas Hill Country",-99.0365595,29.945671
"Nicaragua","Nicaragua","Nicaragua","Nicaragua",-85.207229,12.865416
"GOSP","GOSP","GOSP","GOSP",,
"Alberta","Alberta","Alberta","Alberta",-116.5765035,53.9332706
"Space Coast, Florida, USA","Space Coast, Florida, USA","Space Coast  Florida  USA","Space Coast  Florida  USA",-80.6770787,28.307246
"CA. USA","CA. USA","CA  USA","CA  USA",-119.4179324,36.778261
"Birch Bay, WA","Birch Bay, WA","Birch Bay  WA","Birch Bay  WA",-122.7446219,48.9178883
"Larchmont, NY","Larchmont, NY","Larchmont  NY","Larchmont  NY",-73.7517983,40.9278769
"Bridgetown, MS","Bridgetown, MS","Bridgetown  MS","Bridgetown  MS",-89.912645,34.898359
"The Salish Sea","The Salish Sea","The Salish Sea","The Salish Sea",-123.1406752,48.3295258
"San Ramon, California","San Ramon, California","San Ramon  California","San Ramon  California",-121.9539616,37.7643595
"ÜT: 47.56826,-122.328646","ÜT: 47.56826,-122.328646","ÜT  47 56826  122 328646","ÜT  47 56826  122 328646",-73.9899748,40.7613127
"My<U+2764><U+FE0F>YorkieSpace#BluehandStrong","MyYorkieSpace#BluehandStrong","MyYorkieSpace BluehandStrong","MyYorkieSpace BluehandStrong",,
"Clarkston, Wa.","Clarkston, Wa.","Clarkston  Wa ","Clarkston  Wa",-117.0451581,46.4162723
"Maine/USA","Maine/USA","Maine USA","Maine USA",-69.4454689,45.253783
"Jupiter <U+0001F644>","Jupiter ","Jupiter ","Jupiter",-80.0942087,26.9342246
"Communist State of New Jersey","Communist State of New Jersey","Communist State of New Jersey","Communist State of New Jersey",-74.4056612,40.0583238
"Lyallpur, Pakistan","Lyallpur, Pakistan","Lyallpur  Pakistan","Lyallpur  Pakistan",73.1349605,31.4503662
"Tacoma WA","Tacoma WA","Tacoma WA","Tacoma WA",-122.4442906,47.2528768
"#AsiChai <U+2615> ","#AsiChai  "," AsiChai  ","AsiChai",,
"<U+092D><U+093E><U+0930><U+0924> India"," India"," India","India",78.96288,20.593684
"Ireland, Scotland Wales","Ireland, Scotland Wales","Ireland  Scotland Wales","Ireland  Scotland Wales",-7.6920536,53.1423672
"Madeira beach, fla","Madeira beach, fla","Madeira beach  fla","Madeira beach  fla",-82.7973247,27.7980814
"The Audient Void","The Audient Void","The Audient Void","The Audient Void",,
"Khiengphiung Üangdieu","Khiengphiung Üangdieu","Khiengphiung Üangdieu","Khiengphiung Üangdieu",,
"Cambridge, England","Cambridge, England","Cambridge  England","Cambridge  England",0.121817,52.205337
"Desoto County, Mississippi","Desoto County, Mississippi","Desoto County  Mississippi","Desoto County  Mississippi",-89.9626799,34.9065453
"Amazon.com","Amazon.com","Amazon com","Amazon com",-94.9442982,38.7768106
"Central CA","Central CA","Central CA","Central CA",-119.7889248,36.9915398
"Shimoga, India","Shimoga, India","Shimoga  India","Shimoga  India",75.568101,13.9299299
"Walnut Creek, CA","Walnut Creek, CA","Walnut Creek  CA","Walnut Creek  CA",-122.0651819,37.9100783
"Belly o' the beast","Belly o' the beast","Belly o  the beast","Belly o  the beast",-72.6314532,42.3186309
"Thane, India","Thane, India","Thane  India","Thane  India",72.9780897,19.2183307
"TEXAS USA<U+0001F1FA><U+0001F1F8>","TEXAS USA","TEXAS USA","TEXAS USA",-99.9018131,31.9685988
"Powell, WY","Powell, WY","Powell  WY","Powell  WY",-108.7573525,44.7538408
"Mera Asim Land ","Mera Asim Land ","Mera Asim Land ","Mera Asim Land",,
"REGISTER 2 VOTE","REGISTER 2 VOTE","REGISTER 2 VOTE","REGISTER 2 VOTE",-95.4316544,30.3468979
"AbuDhabi United Arab Emirates ","AbuDhabi United Arab Emirates ","AbuDhabi United Arab Emirates ","AbuDhabi United Arab Emirates",54.3773438,24.453884
"  london ","  london ","  london ","london",-0.1277583,51.5073509
"Trenton, NJ","Trenton, NJ","Trenton  NJ","Trenton  NJ",-74.759717,40.2205824
"IC1101","IC1101","IC1101","IC1101",,
"not Washington DC","not Washington DC","not Washington DC","not Washington DC",-77.0426162,38.9215644
"Stockholm","Stockholm","Stockholm","Stockholm",18.0685808,59.3293235
"TextTRUMPto88022","TextTRUMPto88022","TextTRUMPto88022","TextTRUMPto88022",,
"Acworth","Acworth","Acworth","Acworth",-84.6768796,34.0659329
"lost in time and space","lost in time and space","lost in time and space","lost in time and space",,
"Indian Country","Indian Country","Indian Country","Indian Country",-95.801185,35.970757
"NW WI","NW WI","NW WI","NW WI",-88.7878678,43.7844397
"Sierra Foothills, CA","Sierra Foothills, CA","Sierra Foothills  CA","Sierra Foothills  CA",-119.9676622,37.4868133
"Wakanda, we have a wall and allow no refugees, just like the movie.","Wakanda, we have a wall and allow no refugees, just like the movie.","Wakanda  we have a wall and allow no refugees  just like the movie ","Wakanda  we have a wall and allow no refugees  just like the movie",,
"west of the Mississippi","west of the Mississippi","west of the Mississippi","west of the Mississippi",-90.6538904,38.9002728
"WNY","WNY","WNY","WNY",-78.8059787,42.8809821
".Australia.",".Australia."," Australia ","Australia",133.775136,-25.274398
"Laramie, WY","Laramie, WY","Laramie  WY","Laramie  WY",-105.5911007,41.3113669
"#JESUS #MAGA #KAG","#JESUS #MAGA #KAG"," JESUS  MAGA  KAG","JESUS  MAGA  KAG",,
"dayton, OH","dayton, OH","dayton  OH","dayton  OH",-84.1916069,39.7589478
"Cynthiana, KY","Cynthiana, KY","Cynthiana  KY","Cynthiana  KY",-84.2941013,38.3903526
"Lithia Springs, GA","Lithia Springs, GA","Lithia Springs  GA","Lithia Springs  GA",-84.6604899,33.7939953
"Fort Myers  FL, USA","Fort Myers  FL, USA","Fort Myers  FL  USA","Fort Myers  FL  USA",-81.8723084,26.640628
"ATLviaBAL","ATLviaBAL","ATLviaBAL","ATLviaBAL",,
"The Refrigerator ","The Refrigerator ","The Refrigerator ","The Refrigerator",-73.582159,42.733674
"Pace, FL","Pace, FL","Pace  FL","Pace  FL",-87.1610807,30.5993603
"Reality","Reality","Reality","Reality",-95.637017,37.0330296
"PY/CA","PY/CA","PY CA","PY CA",,
"Yorkshire","Yorkshire","Yorkshire","Yorkshire",-78.509288,42.4897798
"Kingman az","Kingman az","Kingman az","Kingman az",-114.0530065,35.189443
"Saint Andrews, Scotland","Saint Andrews, Scotland","Saint Andrews  Scotland","Saint Andrews  Scotland",-2.7967214,56.3397753
"Zihuatanejo, Mexico","Zihuatanejo, Mexico","Zihuatanejo  Mexico","Zihuatanejo  Mexico",-101.5516955,17.6416693
"Branson, MO","Branson, MO","Branson  MO","Branson  MO",-93.2185144,36.6436731
"Eternia","Eternia","Eternia","Eternia",-112.2071846,30.7039519
"in Happyville, USA","in Happyville, USA","in Happyville  USA","in Happyville  USA",-86.1349019,40.2671941
"<U+2642>Poems-Thoughts Copyrighted ©","Poems-Thoughts Copyrighted ©","Poems Thoughts Copyrighted ©","Poems Thoughts Copyrighted ©",,
"The Villages, Florida","The Villages, Florida","The Villages  Florida","The Villages  Florida",-82.0037608,28.927019
"America the beautiful!<U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8>","America the beautiful!","America the beautiful ","America the beautiful",-104.8317651,38.8309339
"Fort Worth, Texas","Fort Worth, Texas","Fort Worth  Texas","Fort Worth  Texas",-97.3307658,32.7554883
"LOS ANGELOS CA.","LOS ANGELOS CA.","LOS ANGELOS CA ","LOS ANGELOS CA",-118.2436849,34.0522342
"Dallas","Dallas","Dallas","Dallas",-96.7969879,32.7766642
"Quarantine Zone F","Quarantine Zone F","Quarantine Zone F","Quarantine Zone F",,
"Oak Ridge, Tn. aka Secret City","Oak Ridge, Tn. aka Secret City","Oak Ridge  Tn  aka Secret City","Oak Ridge  Tn  aka Secret City",-84.2417017,36.0239699
"Hickory, NC","Hickory, NC","Hickory  NC","Hickory  NC",-81.3444573,35.7344538
"Destination.2.Justice","Destination.2.Justice","Destination 2 Justice","Destination 2 Justice",,
"YourMind","YourMind","YourMind","YourMind",,
"Miami","Miami","Miami","Miami",-80.1917902,25.7616798
"Knoxville","Knoxville","Knoxville","Knoxville",-83.9207392,35.9606384
"New Port Richey, FL","New Port Richey, FL","New Port Richey  FL","New Port Richey  FL",-82.7192671,28.2441768
"jersey","jersey","jersey","jersey",-2.13125,49.214439
"Prague, Czech Republic","Prague, Czech Republic","Prague  Czech Republic","Prague  Czech Republic",14.4378005,50.0755381
"Independence, MO","Independence, MO","Independence  MO","Independence  MO",-94.4155068,39.0911161
"Fortress Monastery @ Baal","Fortress Monastery @ Baal","Fortress Monastery   Baal","Fortress Monastery   Baal",,
"Through the Looking Glass @ th","Through the Looking Glass @ th","Through the Looking Glass   th","Through the Looking Glass   th",-122.269299,37.852463
"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur  Malaysia","Kuala Lumpur  Malaysia",101.686855,3.139003
"Central Mississippi","Central Mississippi","Central Mississippi","Central Mississippi",-89.3985283,32.3546679
"Missouri","Missouri","Missouri","Missouri",-91.8318334,37.9642529
"Islamorada, FL","Islamorada, FL","Islamorada  FL","Islamorada  FL",-80.6278364,24.9242943
"Farmers Branch, TX","Farmers Branch, TX","Farmers Branch  TX","Farmers Branch  TX",-96.8961151,32.9265137
"ATL, GA","ATL, GA","ATL  GA","ATL  GA",-84.3879824,33.7489954
"okc","okc","okc","okc",-97.5164276,35.4675602
"swamps of ???","swamps of ???","swamps of    ","swamps of",-87.9841731,37.8324361
"Defending The Constitution","Defending The Constitution","Defending The Constitution","Defending The Constitution",,
"Mer·i·ca ","Mer·i·ca ","Mer i ca ","Mer i ca",,
"New Jersey is poo","New Jersey is poo","New Jersey is poo","New Jersey is poo",-74.4056612,40.0583238
" BoortzBus IV."," BoortzBus IV."," BoortzBus IV ","BoortzBus IV",,
"CT","CT","CT","CT",-73.087749,41.6032207
"Greater Benin Diaspora","Greater Benin Diaspora","Greater Benin Diaspora","Greater Benin Diaspora",,
"Behind You","Behind You","Behind You","Behind You",-95.6067841,29.7529601
"Saxonia","Saxonia","Saxonia","Saxonia",-122.3608673,47.6265444
"Western Canada","Western Canada","Western Canada","Western Canada",-123.0099512,49.2530939
"Delray Beach, FL","Delray Beach, FL","Delray Beach  FL","Delray Beach  FL",-80.0728201,26.4614625
"Urmia City","Urmia City","Urmia City","Urmia City",45.0786282,37.5498061
"Yorkshire Fridaythorpe","Yorkshire Fridaythorpe","Yorkshire Fridaythorpe","Yorkshire Fridaythorpe",-0.6659105,54.0203349
"Room 101 of The Matrix","Room 101 of The Matrix","Room 101 of The Matrix","Room 101 of The Matrix",,
"actually from dc","actually from dc","actually from dc","actually from dc",-77.0368707,38.9071923
"Bekasi Timur, Indonesia","Bekasi Timur, Indonesia","Bekasi Timur  Indonesia","Bekasi Timur  Indonesia",107.0244171,-6.2362538
"Co.Down, Ireland","Co.Down, Ireland","Co Down  Ireland","Co Down  Ireland",-5.7157667,54.3276987
"New Hampshire ","New Hampshire ","New Hampshire ","New Hampshire",-71.5723953,43.1938516
"Bromley","Bromley","Bromley","Bromley",-88.2348985,40.107113
"Omaha Nebraska ","Omaha Nebraska ","Omaha Nebraska ","Omaha Nebraska",-95.9345034,41.2565369
"Karnavati Gujarat Bharatvarsha","Karnavati Gujarat Bharatvarsha","Karnavati Gujarat Bharatvarsha","Karnavati Gujarat Bharatvarsha",72.6948376,23.030941
"NW Minnesota","NW Minnesota","NW Minnesota","NW Minnesota",-94.6858998,46.729553
"Faroe Islands","Faroe Islands","Faroe Islands","Faroe Islands",-6.9118061,61.892635
"Silver City, SD","Silver City, SD","Silver City  SD","Silver City  SD",-103.5638029,44.0844303
"South Tulsa, Oklahoma, U.S.A","South Tulsa, Oklahoma, U.S.A","South Tulsa  Oklahoma  U S A","South Tulsa  Oklahoma  U S A",-95.992775,36.1539816
"Montes Claros, MG","Montes Claros, MG","Montes Claros  MG","Montes Claros  MG",-43.8582139,-16.7286406
"Uranus","Uranus","Uranus","Uranus",-92.1053864,37.8287218
"Mishawaka, IN","Mishawaka, IN","Mishawaka  IN","Mishawaka  IN",-86.1586156,41.6619927
"Manitoba, Canada","Manitoba, Canada","Manitoba  Canada","Manitoba  Canada",-98.8138762,53.7608608
"The Revolution","The Revolution","The Revolution","The Revolution",-90.0784179,29.9415664
"Nilbog, GA","Nilbog, GA","Nilbog  GA","Nilbog  GA",-82.9000751,32.1656221
"São Paulo - Brasil","São Paulo - Brasil","São Paulo   Brasil","São Paulo   Brasil",-46.6333094,-23.5505199
"unfortunately New York, USA","unfortunately New York, USA","unfortunately New York  USA","unfortunately New York  USA",-74.0059728,40.7127753
"Hot Springs, AR.","Hot Springs, AR.","Hot Springs  AR ","Hot Springs  AR",-93.0551795,34.5037004
"""And the day came when the risk it took to stay tight inside the bud was more painful than the risk it took to blossom."" - Anais Nin","""And the day came when the risk it took to stay tight inside the bud was more painful than the risk it took to blossom."" - Anais Nin"," And the day came when the risk it took to stay tight inside the bud was more painful than the risk it took to blossom     Anais Nin","And the day came when the risk it took to stay tight inside the bud was more painful than the risk it took to blossom     Anais Nin",,
"PoekadudietoDpoe","PoekadudietoDpoe","PoekadudietoDpoe","PoekadudietoDpoe",,
"Daytona Beach, FL","Daytona Beach, FL","Daytona Beach  FL","Daytona Beach  FL",-81.0228331,29.2108147
"northern Annexia","northern Annexia","northern Annexia","northern Annexia",,
"Hong Kong  ","Hong Kong  ","Hong Kong  ","Hong Kong",114.1693611,22.3193039
"Not Wu York","Not Wu York","Not Wu York","Not Wu York",,
"Under Surveillance ","Under Surveillance ","Under Surveillance ","Under Surveillance",,
"Flyover Country","Flyover Country","Flyover Country","Flyover Country",-95.712891,37.09024
"Grand Rapids, Michigan","Grand Rapids, Michigan","Grand Rapids  Michigan","Grand Rapids  Michigan",-85.6680863,42.9633599
"Tucson, AZ","Tucson, AZ","Tucson  AZ","Tucson  AZ",-110.9747108,32.2226066
"Bulgravia","Bulgravia","Bulgravia","Bulgravia",-87.6548821,41.8801164
"Lanark, Ontario","Lanark, Ontario","Lanark  Ontario","Lanark  Ontario",-76.3651814,45.0181238
"Grantham, Ontario","Grantham, Ontario","Grantham  Ontario","Grantham  Ontario",-79.2169174,43.1998378
"The Novel 1984","The Novel 1984","The Novel 1984","The Novel 1984",,
"stargate","stargate","stargate","stargate",-104.9769199,39.9590889
"ATLANTA ","ATLANTA ","ATLANTA ","ATLANTA",-84.3879824,33.7489954
"Port Richey, FL","Port Richey, FL","Port Richey  FL","Port Richey  FL",-82.7195451,28.2716755
"Louverné, Pays de la Loire","Louverné, Pays de la Loire","Louverné  Pays de la Loire","Louverné  Pays de la Loire",-0.71884,48.122495
"NY ","NY ","NY ","NY",-74.0059728,40.7127753
"Canterbury, England <U+0001F1EC><U+0001F1E7><U+0001F1FA><U+0001F1F8>","Canterbury, England ","Canterbury  England ","Canterbury  England",1.0789089,51.280233
"Terre","Terre","Terre","Terre",-73.9836687,40.6719443
"Saco, ME","Saco, ME","Saco  ME","Saco  ME",-70.4428286,43.5009176
"Beautiful Sunny La Quinta CA","Beautiful Sunny La Quinta CA","Beautiful Sunny La Quinta CA","Beautiful Sunny La Quinta CA",-116.3100095,33.6633573
"Moscow, Russia","Moscow, Russia","Moscow  Russia","Moscow  Russia",37.6172999,55.755826
" USA, London, Asia."," USA, London, Asia."," USA  London  Asia ","USA  London  Asia",-0.1277583,51.5073509
"Nopantsistan","Nopantsistan","Nopantsistan","Nopantsistan",,
"Ontario, CDA ca. 1791 ","Ontario, CDA ca. 1791 ","Ontario  CDA ca  1791 ","Ontario  CDA ca  1791",-85.323214,51.253775
"Mon-cloaca Palace","Mon-cloaca Palace","Mon cloaca Palace","Mon cloaca Palace",,
"ipswich","ipswich","ipswich","ipswich",-70.8411558,42.6791832
"Woodland Hills, Los Angeles","Woodland Hills, Los Angeles","Woodland Hills  Los Angeles","Woodland Hills  Los Angeles",-118.6089752,34.165357
"Christmas Island","Christmas Island","Christmas Island","Christmas Island",105.690449,-10.447525
"Bellarine Peninsula, Victoria","Bellarine Peninsula, Victoria","Bellarine Peninsula  Victoria","Bellarine Peninsula  Victoria",144.526965,-38.2119888
"Toms River, New Jersey, USA","Toms River, New Jersey, USA","Toms River  New Jersey  USA","Toms River  New Jersey  USA",-74.1979458,39.9537358
"Flint","Flint","Flint","Flint",-83.6874562,43.0125274
"Sunrise Minnesota Chisago Co. ","Sunrise Minnesota Chisago Co. ","Sunrise Minnesota Chisago Co  ","Sunrise Minnesota Chisago Co",-92.8514605,45.508579
"Texas Y'all<U+0001F3B6>","Texas Y'all","Texas Y all","Texas Y all",-97.68036,30.4897362
"basingstoke","basingstoke","basingstoke","basingstoke",-1.0923964,51.26654
"Toronto ","Toronto ","Toronto ","Toronto",-79.3831843,43.653226
"Navi Mumbai","Navi Mumbai","Navi Mumbai","Navi Mumbai",73.0296625,19.0330488
"Sidney, OH","Sidney, OH","Sidney  OH","Sidney  OH",-84.1554987,40.2842164
"Orange Beach, AL","Orange Beach, AL","Orange Beach  AL","Orange Beach  AL",-87.5867598,30.2697033
"NuffK'nation(NuffKay)","NuffK'nation(NuffKay)","NuffK nation NuffKay ","NuffK nation NuffKay",,
"Cornwall. U.K","Cornwall. U.K","Cornwall  U K","Cornwall  U K",-5.0527125,50.2660471
"Upper Peninsula","Upper Peninsula","Upper Peninsula","Upper Peninsula",-87.3952109,46.5374764
"Marquette, MI Upper Peninsula","Marquette, MI Upper Peninsula","Marquette  MI Upper Peninsula","Marquette  MI Upper Peninsula",-87.3953713,46.5436199
"Upper Peninsula Michigan","Upper Peninsula Michigan","Upper Peninsula Michigan","Upper Peninsula Michigan",-87.3952109,46.5374764
"Trillion-Fold World","Trillion-Fold ","Trillion Fold ","Trillion Fold",,
"<U+0001F1EC><U+0001F1E7>London","London","London","London",-0.1277583,51.5073509
"Workington, England","Workington, England","Workington  England","Workington  England",-3.542752,54.643569
"Bilaspur, India","Bilaspur, India","Bilaspur  India","Bilaspur  India",82.1409152,22.0796545
"Karlsruhe, Germany","Karlsruhe, Germany","Karlsruhe  Germany","Karlsruhe  Germany",8.4036527,49.0068901
"#TheGreatAwakening #5GIsAControlGrid #POTUS #MAGA #FormerDemocrat #WalkAway #ForGodAndCountry","#TheGreatAwakening #5GIsAControlGrid #POTUS #MAGA #FormerDemocrat #WalkAway #ForGodAndCountry"," TheGreatAwakening  5GIsAControlGrid  POTUS  MAGA  FormerDemocrat  WalkAway  ForGodAndCountry","TheGreatAwakening  5GIsAControlGrid  POTUS  MAGA  FormerDemocrat  WalkAway  ForGodAndCountry",,
"Hong Kong, My Homeland","Hong Kong, My Homeland","Hong Kong  My Homeland","Hong Kong  My Homeland",,
"Baudland","Baudland","Baudland","Baudland",,
"<U+0001F1E6><U+0001F1FA>pointy end of Oz","pointy end of Oz","pointy end of Oz","pointy end of Oz",,
"Alkmaar, Nederland","Alkmaar, Nederland","Alkmaar  Nederland","Alkmaar  Nederland",4.7533754,52.6323813
"Adelaide, Australia.","Adelaide, Australia.","Adelaide  Australia ","Adelaide  Australia",138.6007456,-34.9284989
"Snake state","Snake state","Snake state","Snake state",-95.712891,37.09024
"GTA, Ontario","GTA, Ontario","GTA  Ontario","GTA  Ontario",-79.1999949,44.0383744
"Another remote location","Another remote location","Another remote location","Another remote location",,
"Plano, TX","Plano, TX","Plano  TX","Plano  TX",-96.6988856,33.0198431
"Deltarune","Deltarune","Deltarune","Deltarune",,
"in your place, hell","in your place, hell","in your place  hell","in your place  hell",,
"Pittsburgh (aka ""Iceburgh""),PA","Pittsburgh (aka ""Iceburgh""),PA","Pittsburgh  aka  Iceburgh   PA","Pittsburgh  aka  Iceburgh   PA",-79.9958864,40.4406248
"U.S. ","U.S. ","U S  ","U S",-95.712891,37.09024
"Ghazipur , Kanpur, (UP) India","Ghazipur , Kanpur, (UP) India","Ghazipur   Kanpur   UP  India","Ghazipur   Kanpur   UP  India",80.4243066,26.1852388
"chorley","chorley","chorley","chorley",-2.632596,53.653511
"Budapest & Murrumbateman","Budapest & Murrumbateman","Budapest   Murrumbateman","Budapest   Murrumbateman",19.040235,47.497912
"Atlanta Ga","Atlanta Ga","Atlanta Ga","Atlanta Ga",-84.3879824,33.7489954
"Red Moon over a Blue Sea","Red Moon over a Blue Sea","Red Moon over a Blue Sea","Red Moon over a Blue Sea",,
"Bharatvarsha","Bharatvarsha","Bharatvarsha","Bharatvarsha",,
"Pacific NorthWest","Pacific NorthWest","Pacific NorthWest","Pacific NorthWest",-122.6779081,45.5272148
"INDIA. (Bharat)","INDIA. (Bharat)","INDIA   Bharat ","INDIA   Bharat",78.96288,20.593684
"Marina Bay Financial Center","Marina Bay Financial Center","Marina Bay Financial Center","Marina Bay Financial Center",-121.7962018,36.6840115
"Essex, UK","Essex, UK","Essex  UK","Essex  UK",0.4856781,51.5742447
" A Northern Town"," A Northern Town"," A Northern Town","A Northern Town",-94.8838757,47.55577
"The RATrix","The RATrix","The RATrix","The RATrix",-82.984498,42.426466
"Holland","Holland","Holland","Holland",5.291266,52.132633
"Bunker","Bunker","Bunker","Bunker",-95.9054061,36.1047658
"QC phil","QC phil","QC phil","QC phil",121.0437003,14.6760413
"Idarich hai apun ","Idarich hai apun ","Idarich hai apun ","Idarich hai apun",,
"Lejos Lejos","Lejos Lejos","Lejos Lejos","Lejos Lejos",,
"Republic of the Philippines","Republic of the Philippines","Republic of the Philippines","Republic of the Philippines",121.774017,12.879721
"ONION MY FORESKIN ","ONION MY FORESKIN ","ONION MY FORESKIN ","ONION MY FORESKIN",,
"canada","canada","canada","canada",-106.346771,56.130366
"NM MS CO OH","NM MS CO OH","NM MS CO OH","NM MS CO OH",-106.5822596,35.1452086
"#WeAreONEFamilyOfSentientBeings #SentientBeingsNeedUsALL To #CareForALLSpecies #ONEMultispeciesWorld #TogetherLetsMakeALLSentientBeingsHappy","#WeAreONEFamilyOfSentientBeings #SentientBeingsNeedUsALL To #CareForALLSpecies #ONEMultispecies #TogetherLetsMakeALLSentientBeingsHappy"," WeAreONEFamilyOfSentientBeings  SentientBeingsNeedUsALL To  CareForALLSpecies  ONEMultispecies  TogetherLetsMakeALLSentientBeingsHappy","WeAreONEFamilyOfSentientBeings  SentientBeingsNeedUsALL To  CareForALLSpecies  ONEMultispecies  TogetherLetsMakeALLSentientBeingsHappy",,
"INDONESIA","INDONESIA","INDONESIA","INDONESIA",113.921327,-0.789275
"Mount Airy, NC","Mount Airy, NC","Mount Airy  NC","Mount Airy  NC",-80.6072858,36.4993007
"Between Steph’s legs ","Between Steph’s legs ","Between Steph s legs ","Between Steph s legs",,
"Hellas","Hellas","Hellas","Hellas",-82.7618654,28.1553964
"Motihari, India","Motihari, India","Motihari  India","Motihari  India",84.9040337,26.6438482
"Mexico","Mexico","Mexico","Mexico",-102.552784,23.634501
"Phaya Thai, Bangkok","Phaya Thai, Bangkok","Phaya Thai  Bangkok","Phaya Thai  Bangkok",100.5450702,13.7807784
"south Cleveland Tn","south Cleveland Tn","south Cleveland Tn","south Cleveland Tn",-84.9036859,35.1134853
"Alt: @Quest4Content2","Alt: @Quest4Content2","Alt   Quest4Content2","Alt   Quest4Content2",,
"Northwest USA","Northwest USA","Northwest USA","Northwest USA",,
"El Paso, Tx","El Paso, Tx","El Paso  Tx","El Paso  Tx",-106.4850217,31.7618778
"Parts Unknown ","Parts Unknown ","Parts Unknown ","Parts Unknown",-97.3322299,32.7541798
"Gulf Coast","Gulf Coast","Gulf Coast","Gulf Coast",-81.7887271,26.4864394
"Texas Patriot","Texas Patriot","Texas Patriot","Texas Patriot",-95.468536,30.1274677
"Canada <U+0001F1E8><U+0001F1E6> ","Canada  ","Canada  ","Canada",-106.346771,56.130366
"under a<U+0001F334> ","under a ","under a ","under a",-91.8884411,41.5406197
"Haw River NC","Haw River NC","Haw River NC","Haw River NC",-79.3641862,36.091526
"Hartley Wintney, England","Hartley Wintney, England","Hartley Wintney  England","Hartley Wintney  England",-0.90406,51.305296
"ÜT: 18.771271,98.976943","ÜT: 18.771271,98.976943","ÜT  18 771271 98 976943","ÜT  18 771271 98 976943",,
"Piscataway, New Jersey","Piscataway, New Jersey","Piscataway  New Jersey","Piscataway  New Jersey",-74.4642861,40.554887
"Hesperia, CA","Hesperia, CA","Hesperia  CA","Hesperia  CA",-117.3008784,34.4263886
"Transylvania","Transylvania","Transylvania","Transylvania",25.2223974,46.1840561
"Kuala Lumpur, Malaysia <U+0001F1F2><U+0001F1FE>","Kuala Lumpur, Malaysia ","Kuala Lumpur  Malaysia ","Kuala Lumpur  Malaysia",101.686855,3.139003
"None","None","None","None",-95.8263391,36.2841764
"wales","wales","wales","wales",-3.7837117,52.1306607
"Provence.South of France.","Provence.South of France.","Provence South of France ","Provence South of France",6.2116438,44.0144936
"Sicilia, Italia","Sicilia, Italia","Sicilia  Italia","Sicilia  Italia",14.0153557,37.5999938
"In thy happy halls.","In thy happy halls.","In thy happy halls ","In thy happy halls",-122.4026088,37.6151138
"Arlington, WA","Arlington, WA","Arlington  WA","Arlington  WA",-122.1251418,48.1987118
"Manizales, Colombia","Manizales, Colombia","Manizales  Colombia","Manizales  Colombia",-75.5027698,5.0629743
"Virginia Beach","Virginia Beach","Virginia Beach","Virginia Beach",-75.977985,36.8529263
"mono / 20<U+2191> / they / vancouver ","mono / 20 / they / vancouver ","mono   20   they   vancouver ","mono   20   they   vancouver",-123.1207375,49.2827291
"N da Clouds","N da Clouds","N da Clouds","N da Clouds",,
"Gawler, South Australia","Gawler, South Australia","Gawler  South Australia","Gawler  South Australia",138.7448796,-34.5973516
"City of Angels!","City of Angels!","City of Angels ","City of Angels",-118.1861217,34.0339233
"Gaia","Gaia","Gaia","Gaia",-105.1567854,39.9876081
"Deadwood, SD","Deadwood, SD","Deadwood  SD","Deadwood  SD",-103.7296415,44.376651
"DTW - WAW - PVG - KIX","DTW - WAW - PVG - KIX","DTW   WAW   PVG   KIX","DTW   WAW   PVG   KIX",,
